Category	Rule	Claims Adjuster Level 1	Claims Adjuster Level 2	Claims Adjuster Level 3	Claims Adjuster Level 4	Claims Admin / Procurement	Claims Executive	Claims Manager	Claims Payment Processing 2	Claims Payment Processing Manager	Claims Payment Processor	Loss Control	TPA Administrator
Accounting Interfaces	READ Accounting Setup												Y
	ADD Accounting Setup												Y
	EDIT Accounting Setup												Y
	DELETE Accounting Setup												Y
	READ Accounting Setup Assignment												Y
	ADD Accounting Setup Assignment												Y
	EDIT Accounting Setup Assignment												Y
	DELETE Accounting Setup Assignment												Y
Admin Override	EDIT Active Contract Status to Pending												Y
	EDIT Expired Contract Status to Active												Y
	SUPPRESS Coverage Alerts	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Agents	READ Agent (Search Agent)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Agent												Y
	EDIT Agent												Y
	EDIT Federal Tax ID												Y
	VIEW Federal Tax ID												Y
	DELETE Agent												Y
	READ Agent Documents						Y	Y				Y	Y
	ADD Agent Documents												Y
	EDIT Agent Documents												Y
	DELETE Agent Documents												Y
	READ Notes					Y	Y	Y	Y	Y	Y	Y	Y
	ADD Notes						Y	Y				Y	Y
	EDIT Notes						Y					Y	Y
	DELETE Notes												Y
Automatic Payment	READ Automatic Payments Schedules												Y
	ADD Automatic Payments Schedules												Y
	EDIT Automatic Payments Schedules												Y
	DELETE Automatic Payments Schedules												Y
Billing	READ Billing Payment History												Y
	ADD Payment												Y
	APPLY Payment												Y
	REVERSE Payment Application												Y
	VOID Payment												Y
	ADD Dealer Balance Adjustment												Y
	DELETE Payment												Y
Bundle Containers	READ Bundle Container												Y
	ADD Bundle Container												Y
	EDIT Bundle Container												Y
	DELETE Bundle Container												Y
Cancellation Methods and Rules	READ Cancellation Methods	Y	Y			Y	Y	Y				Y	Y
	ADD Cancellation Methods												Y
	EDIT Cancellation Methods												Y
	DELETE Cancellation Methods												Y
	READ Cancellation Rules	Y	Y			Y	Y	Y				Y	Y
	ADD Cancellation Rules												Y
	EDIT Cancellation Rules												Y
	DELETE Cancellation Rules												Y
	Edit Rule Assignment for Coverage/Form												Y
Cancellation Profiles	READ Cancellation Profiles (Search Cancellation Profiles)						Y					Y	Y
	ADD Cancellation Profiles												Y
	EDIT Cancellation Profiles												Y
	DELETE Cancellation Profiles												Y
Catalogs	READ Categories					Y	Y					Y	Y
	ADD Categories											Y	
	EDIT Categories											Y	
	READ Subcategories					Y	Y					Y	Y
	ADD Subcategories											Y	
	EDIT Subcategories											Y	
	READ Sales Representatives						Y					Y	Y
	ADD Sales Representatives											Y	
	EDIT Sales Representatives											Y	
	READ Manufacturers					Y	Y					Y	Y
	ADD Manufacturers						Y					Y	Y
	EDIT Manufacturers						Y					Y	Y
	DELETE Manufacturers											Y	Y
	READ Work Queue						Y					Y	Y
	ADD Work Queue											Y	
	EDIT Work Queue											Y	
	READ Positions						Y					Y	Y
	ADD Positions					Y						Y	Y
	EDIT Positions											Y	Y
	READ Tiers						Y					Y	
	ADD Tiers											Y	
	EDIT Tiers											Y	
Claim	READ Claim (Search Claim)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ACCESS My Claims	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ACCESS My Service Claims							Y				Y	Y
	EDIT Claim	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Claim on Pending Contracts	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Claim on Active Contracts	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Claim on Rejected/Cancelled Contract (Loss Date Greater than Cancelled Date)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Claim on Voided Contract												Y
	ADD Claim on Expired Contracts	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Claim with Loss Date After Expiration Date, Days:	Y-$9,999	Y-$9,999	Y-$9,999	Y-$9,999	Y-$9,999	Y-$1,825	Y-$9,999	Y-$1,825	Y-$1,095	Y-$1,825	Y-$9,999	Y-$50
	ADD Claim with Date before Effective/Sale Date	Y	Y	Y	Y	Y	Y	Y				Y	Y
	ADD Claim with Odometer less than Effective/Sale Odometer	Y	Y	Y	Y	Y	Y	Y				Y	Y
	ADD Claim with Loss Odometer Greater Than Expiration Odometer, Miles:	Y-$999,999	Y-$999,999	Y-$999,999	Y-$999,999	Y-$999,999	Y-$999,999	Y-$999,999	Y-$999,999	Y-$10,000	Y-$999,999	Y-$999,999	Y-$10,000
	ALLOW Claim Odometer lesser than previous claim	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ALLOW override Parts/Labor Claim Limits on Service Claims					Y	Y	Y	Y	Y	Y	Y	Y
	APPROVE Service Claim					Y	Y		Y	Y	Y	Y	Y
	REQUEST Service Claim Amount up to:	Y-$100,000	Y-$100,000	Y-$100,000	Y-$7,999	Y-$100,000	Y-$100,000	Y-$100,000	Y-$11,000	Y-$50,000	Y-$10,000	Y-$50,000	Y-$200,000
	AUTHORIZE Additional Amount up to:									Y-$10,000			Y-$20,000
	AUTHORIZE Service Claim Amount up to:	Y-$1,800	Y-$3,500	Y-$5,000	Y-$7,999	Y-$7,999	Y-$75,000	Y-$14,999	Y-$8,000	Y-$30,000	Y-$5,000	Y-$25,000	Y-$10,000
	AUTHORIZE Claim on Pending Contracts	Y	Y	Y		Y	Y	Y				Y	Y
	AUTHORIZE Service Claim Amount on Rejected/Cancelled Contracts (Loss Date Greater than Cancelled Date) up to:						Y-$75,000	Y-$40,000	Y-$2,500	Y-$50,000		Y-$20,000	Y-$10,000
	AUTHORIZE Claim on Voided Contract												Y
	AUTHORIZE Claim on Expired Contracts						Y	Y	Y	Y	Y	Y	Y
	AUTHORIZE Goodwill Amount up to:	Y-$1,800	Y-$3,500	Y-$5,000	Y-$7,999	Y-$7,999	Y-$75,000	Y-$14,999	Y-$8,000	Y-$30,000	Y-$5,000	Y-$25,000	Y-$10,000
	User can Edit RO Number, Date of Loss, and Loss Odometer on Paid/Authorized Service Claims (VSC/ PPM/ LTW)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	Change Contract on Claim Regardless of Contract Status											Y	Y
	Change Contract on Claim in any Status											Y	Y
	CLOSE Claim (GAP/ PPM Small Screen)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	REOPEN Claim (GAP)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	DENY Claim	Y	Y	Y	Y	Y	Y	Y		Y		Y	Y
	DELETE Claim						Y						Y
	FORCE Approve Denied Claim	Y	Y	Y	Y	Y	Y	Y				Y	Y
	APPROVE GAP Screen Claim up to												Y-$50,000
	EDIT Customer Contact Information (Without "EDIT Claim" ) (GAP)												Y
	EDIT Assigned To					Y	Y	Y				Y	Y
	User Listed in Assigned To	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	Require Activity on Primary Claim Screen	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y		Y
	Claim Supervisor						Y	Y		Y		Y	Y
	READ Incoming Documents	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	READ Secure Documents		Y							Y			Y
	ADD Incoming Documents	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Incoming Documents	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	DELETE Incoming Documents						Y					Y	Y
	READ Outgoing Documents (GAP)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	SEND Outgoing Documents (GAP)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Outgoing Documents (GAP)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	DELETE Outgoing Documents (GAP)	Y	Y	Y	Y	Y	Y	Y	Y		Y		Y
	READ Notes	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Notes	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Notes and Documents to Claim locked by another User	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Notes						Y	Y				Y	Y
	DELETE Notes											Y	Y
	VOID Payment								Y	Y		Y	Y
	VOID/Reprint Payment								Y	Y		Y	Y
	EDIT Payee on Claim	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Payee/Servicer panel on PCRS+									Y			Y
	EDIT Payment Method on Claim	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ALLOW to Enter Subrogated Claim Detail Lines (GAP/Primary)	Y	Y	Y	Y	Y	Y		Y	Y		Y	Y
	ALLOW to enter a negative amount greater than payee amount to Service Claim												Y
	Modify Goodwill in Any Status						Y					Y	Y
	READ Get Cancellation Quote (GAP)												Y
	SAVE Get Cancellation Quote (GAP)												Y
	Add Multiple Claims to GAP/EWT/Etch Contract												Y
	GAP - Override Claim Calculations												Y
	EMAIL User on New GAP Claim Created												Y
	UPDATE Contract Lender with Claim Payee Lender - GAP	Y	Y	Y	Y		Y	Y	Y		Y	Y	Y
	ALLOW Lender to Add Claim on Contract with Different Lender												Y
